"Location","String Value","String Representation","Data Type"
"100000028","__PAGEZERO","\"__PAGEZERO\"","ds"
"100000070","__TEXT","\"__TEXT\"","ds"
"1000000b0","__text","\"__text\"","ds"
"1000000c0","__TEXT","\"__TEXT\"","ds"
"100000100","__stubs","\"__stubs\"","ds"
"100000110","__TEXT","\"__TEXT\"","ds"
"100000150","__stub_helper","\"__stub_helper\"","ds"
"100000160","__TEXT","\"__TEXT\"","ds"
"1000001a0","__gcc_except_tab","\"__gcc_except_tab\"","ds"
"1000001b0","__TEXT","\"__TEXT\"","ds"
"1000001f0","__cstring","\"__cstring\"","ds"
"100000200","__TEXT","\"__TEXT\"","ds"
"100000240","__const","\"__const\"","ds"
"100000250","__TEXT","\"__TEXT\"","ds"
"100000290","__objc_classname","\"__objc_classname\"","ds"
"1000002a0","__TEXT","\"__TEXT\"","ds"
"1000002e0","__objc_methname","\"__objc_methname\"","ds"
"1000002f0","__TEXT","\"__TEXT\"","ds"
"100000330","__objc_methtype","\"__objc_methtype\"","ds"
"100000340","__TEXT","\"__TEXT\"","ds"
"100000380","__unwind_info","\"__unwind_info\"","ds"
"100000390","__TEXT","\"__TEXT\"","ds"
"1000003d0","__eh_frame","\"__eh_frame\"","ds"
"1000003e0","__TEXT","\"__TEXT\"","ds"
"100000428","__DATA","\"__DATA\"","ds"
"100000468","__program_vars","\"__program_vars\"","ds"
"100000478","__DATA","\"__DATA\"","ds"
"1000004b8","__nl_symbol_ptr","\"__nl_symbol_ptr\"","ds"
"1000004c8","__DATA","\"__DATA\"","ds"
"100000508","__got","\"__got\"","ds"
"100000518","__DATA","\"__DATA\"","ds"
"100000558","__la_symbol_ptr","\"__la_symbol_ptr\"","ds"
"100000568","__DATA","\"__DATA\"","ds"
"1000005a8","__mod_init_func","\"__mod_init_func\"","ds"
"1000005b8","__DATA","\"__DATA\"","ds"
"1000005f8","__mod_term_func","\"__mod_term_func\"","ds"
"100000608","__DATA","\"__DATA\"","ds"
"100000648","__const","\"__const\"","ds"
"100000658","__DATA","\"__DATA\"","ds"
"100000698","__cfstring","\"__cfstring\"","ds"
"1000006a8","__DATA","\"__DATA\"","ds"
"1000006e8","__objc_classlist","\"__objc_classlist\"","ds"
"1000006f8","__DATA","\"__DATA\"","ds"
"100000738","__objc_nlclslist","\"__objc_nlclslist\"","ds"
"100000748","__DATA","\"__DATA\"","ds"
"100000788","__objc_protolist","\"__objc_protolist\"","ds"
"100000798","__DATA","\"__DATA\"","ds"
"1000007d8","__objc_imageinfo","\"__objc_imageinfo\"","ds"
"1000007e8","__DATA","\"__DATA\"","ds"
"100000828","__objc_const","\"__objc_const\"","ds"
"100000838","__DATA","\"__DATA\"","ds"
"100000878","__objc_selrefs","\"__objc_selrefs\"","ds"
"100000888","__DATA","\"__DATA\"","ds"
"1000008c8","__objc_protorefs","\"__objc_protorefs\"","ds"
"1000008d8","__DATA","\"__DATA\"","ds"
"100000918","__objc_classrefs","\"__objc_classrefs\"","ds"
"100000928","__DATA","\"__DATA\"","ds"
"100000968","__objc_superrefs","\"__objc_superrefs\"","ds"
"100000978","__DATA","\"__DATA\"","ds"
"1000009b8","__objc_ivar","\"__objc_ivar\"","ds"
"1000009c8","__DATA","\"__DATA\"","ds"
"100000a08","__objc_data","\"__objc_data\"","ds"
"100000a18","__DATA","\"__DATA\"","ds"
